AUD,CAD,CHF,DKK,GBP,JPY,NOK,NZD,PLN,SEK,USDNEXTD
16.065,15.906,11.775,74.515,8.761,131.51,96.771,17.066,42.033,102.784,12.406
16.152,15.979,11.744,74.475,8.745,130.66,95.726,17.063,42.131,102.09,12.506
16.058,15.978,11.766,74.463,8.74,131.16,95.574,17.048,42.206,101.914,12.45
16.048,15.927,11.701,74.481,8.728,129.38,95.807,17.073,42.286,101.878,12.352
15.992,15.918,11.677,74.486,8.725,129.51,95.345,17.071,42.232,101.571,12.292
15.892,15.917,11.718,74.486,8.746,130.85,94.958,17.067,42.292,100.969,12.235
15.934,16.002,11.709,74.486,8.796,130.42,94.841,17.041,42.313,100.65,12.247
15.982,16.131,11.731,74.485,8.816,130.87,95.268,17.027,42.236,100.771,12.264
15.928,16.096,11.703,74.488,8.829,130.25,94.821,17.031,42.207,100.686,12.377
15.778,16.06,11.707,74.486,8.859,130.85,94.92,16.906,42.13,100.654,12.368
15.699,16.021,11.686,74.49,8.874,131.49,95.597,16.867,42.006,101.199,12.462
15.764,16.064,11.697,74.493,8.87,132.05,95.859,16.914,42.144,101.802,12.51
15.668,15.841,11.688,74.478,8.887,131.26,95.53,16.905,42.047,101.654,12.421
15.675,15.769,11.706,74.493,8.914,131.43,95.713,16.9,41.943,101.46,12.402
15.801,15.878,11.711,74.484,8.928,130.76,96.524,16.949,42.035,101.731,12.383
15.86,16.025,11.709,74.509,8.932,131.65,96.928,17.037,42.067,102.139,12.421
15.845,15.972,11.668,74.501,8.908,131.64,96.466,17.015,41.88,101.802,12.396
15.885,15.993,11.596,74.489,8.922,131.01,96.456,17.072,41.898,101.936,12.408
15.865,15.865,11.556,74.479,8.905,130.26,95.903,17.023,41.878,101.605,12.299
15.817,15.751,11.555,74.477,8.861,130.33,96.23,16.923,41.902,101.203,12.262
15.71,15.647,11.519,74.463,8.795,130.08,96.352,16.907,41.759,101.098,12.222
15.705,15.629,11.486,74.46,8.819,131.3,96.253,16.907,41.725,100.605,12.239
15.68,15.619,11.554,74.454,8.801,131.72,96.369,16.866,41.699,100.395,12.186
15.672,15.527,11.517,74.45,8.831,131.4,96.473,16.863,41.737,100.498,12.261
15.717,15.666,11.502,74.476,8.826,131.63,96.85,16.799,41.814,100.073,12.263
15.74,15.603,11.534,74.481,8.815,132.39,96.645,16.784,41.738,99.735,12.187
15.651,15.606,11.549,74.476,8.86,132.43,96.738,16.791,41.511,99.896,12.032
15.68,15.585,11.528,74.474,8.835,132.26,96.517,16.83,41.346,99.063,11.947
15.679,15.578,11.51,74.485,8.871,131.89,96.53,16.79,41.585,98.854,11.937
15.74,15.605,11.531,74.498,8.894,132.72,97.119,16.882,41.541,99.162,11.967
15.709,15.55,11.568,74.504,8.891,133.23,97.085,16.893,41.539,99.047,12.03
15.716,15.554,11.546,74.513,8.883,133.19,97.238,16.981,41.665,99.157,12.068
15.635,15.457,11.545,74.479,8.842,133.56,97.282,16.923,41.682,99.128,12.014
15.656,15.389,11.502,74.452,8.802,133.11,97.474,16.885,41.836,99.138,12.059
15.741,15.435,11.463,74.433,8.835,133.18,97.058,16.969,41.915,99.428,12.01
15.68,15.414,11.574,74.43,8.873,134.09,96.969,16.943,41.696,99.136,11.998
15.654,15.461,11.584,74.428,8.861,135.61,96.736,16.858,41.559,98.415,11.943
15.698,15.508,11.521,74.448,8.823,134.94,96.925,17.024,41.601,98.703,11.888
15.729,15.485,11.604,74.434,8.77,137.21,96.372,17.065,41.688,98.506,11.859
15.561,15.345,11.588,74.437,8.752,136.87,95.599,16.91,41.555,98.082,11.869
15.42,15.296,11.569,74.47,8.767,135.64,95.797,16.865,41.547,97.863,11.859
15.344,15.297,11.586,74.423,8.798,134.9,95.772,16.918,41.581,97.861,11.873
15.297,15.278,11.608,74.429,8.765,134.91,95.488,16.911,41.457,97.721,11.871
15.313,15.292,11.598,74.451,8.766,135.03,95.525,16.886,41.373,97.818,11.84
15.449,15.35,11.666,74.44,8.711,135.63,95.973,16.922,41.43,98.216,11.782
15.392,15.323,11.729,74.454,8.784,135.53,96.195,16.91,41.52,98.359,11.754
15.373,15.27,11.779,74.444,8.766,135.67,96.217,16.724,41.663,98.478,11.778
15.294,15.259,11.794,74.439,8.823,136.01,96.286,16.733,41.677,98.326,11.826
15.292,15.264,11.769,74.428,8.809,135.38,96.157,16.795,41.729,98.308,11.742
15.298,15.197,11.736,74.455,8.813,135.98,96.038,16.761,41.617,98.151,11.768
15.291,15.158,11.767,74.458,8.889,135.6,95.994,16.755,41.662,98.107,11.764
15.401,15.246,11.765,74.478,8.891,135.43,96.531,16.871,41.713,98.559,11.773
15.396,15.241,11.81,74.482,8.877,135.56,96.642,16.797,41.72,98.265,11.796
15.402,15.181,11.8,74.496,8.888,135.32,96.59,16.796,41.714,98.075,11.826
15.248,15.063,11.742,74.47,8.845,133.86,96.432,16.571,41.687,97.849,11.866
15.232,14.99,11.687,74.466,8.816,133.13,96.439,16.598,41.752,97.976,11.891
15.257,14.878,11.739,74.474,8.82,134.48,96.722,16.669,41.898,98.242,11.904
15.263,14.864,11.693,74.464,8.865,135.34,96.666,16.677,41.716,98.125,11.847
15.297,14.928,11.731,74.467,8.904,136.03,96.829,16.781,41.504,97.97,11.841
15.346,15.069,11.762,74.459,8.89,136.06,97.34,16.866,41.493,98.203,11.898
15.335,15.059,11.739,74.459,8.875,135.18,97.372,16.942,41.513,98.257,11.93
15.401,15.09,11.717,74.444,8.894,135.42,98.013,16.972,41.637,98.498,11.851
15.388,15.066,11.704,74.482,8.878,135.3,98.471,16.903,41.787,98.514,11.822
15.378,15.092,11.69,74.447,8.883,135.2,98.498,16.929,41.767,98.422,11.738
15.316,15.011,11.687,74.45,8.873,134.82,98.546,16.847,41.773,98.477,11.732
